Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,W
3,3.85,162,5977,5423,623,1265,219,31,190,600,77,27,449,1539,0.233,0.297,0.39,0.687,84,134,0.985,28,4.12,3.77,162,2,17,38,1435.2,1241,668,601,168,540,1383,1.241,8.67,1.05,84,134,0.985,27.4,73
1,4.55,162,6054,5409,737,1341,284,13,214,715,83,22,528,1179,0.248,0.319,0.424,0.743,72,122,0.987,29.3,3.2,2.9,162,3,18,53,1445.1,1121,518,465,134,458,1524,1.092,9.49,0.83,72,122,0.987,29.4,106
2,4.26,162,6117,5375,690,1236,229,19,197,663,83,27,596,1397,0.23,0.315,0.39,0.704,69,114,0.988,27.6,3.85,3.59,162,0,10,40,1447,1277,623,577,186,447,1391,1.191,8.65,1.16,69,114,0.988,27.9,90
4,4.36,162,6029,5478,707,1308,224,20,198,670,128,41,456,1446,0.239,0.301,0.395,0.696,96,143,0.984,28,4.59,4.22,162,1,10,37,1435,1345,743,673,169,581,1314,1.342,8.24,1.06,96,143,0.984,28.3,68
5,3.51,162,5863,5314,568,1147,249,15,137,537,78,23,433,1389,0.216,0.281,0.346,0.626,92,139,0.984,28.3,4.75,4.52,162,0,7,34,1426.1,1394,770,717,195,503,1203,1.33,7.59,1.23,92,139,0.984,28,60
2,4.23,162,6123,5611,686,1435,272,9,149,654,58,10,388,1269,0.256,0.31,0.387,0.698,102,122,0.982,29.3,4.43,3.92,162,2,14,48,1447.2,1330,717,631,166,533,1450,1.287,9.01,1.03,102,122,0.982,29.6,81
1,4.31,162,6163,5558,698,1410,273,31,127,662,119,27,450,1122,0.254,0.316,0.383,0.699,97,127,0.984,25.9,3.91,3.46,162,1,8,51,1456,1252,634,560,172,435,1390,1.159,8.59,1.06,97,127,0.984,26.3,92
4,3.44,162,5870,5378,557,1240,235,27,110,530,47,24,380,1413,0.231,0.286,0.346,0.632,94,137,0.984,27.9,4.4,4.04,162,0,8,38,1419.2,1336,713,637,167,511,1195,1.301,7.58,1.06,94,137,0.984,27.5,66
5,3.95,162,6010,5437,640,1327,247,38,138,613,104,34,460,1287,0.244,0.306,0.38,0.686,82,153,0.986,27.1,5,4.7,162,0,9,33,1416,1493,810,740,173,589,1191,1.47,7.57,1.1,82,153,0.986,27.3,65
3,4.3,162,6113,5476,696,1356,269,18,178,668,38,17,518,1353,0.248,0.317,0.401,0.718,83,121,0.985,26.9,4.22,3.98,162,0,17,28,1437,1320,684,636,184,468,1336,1.244,8.37,1.15,83,121,0.985,28.9,78
5,4.54,162,6144,5539,735,1427,352,12,155,704,52,20,478,1373,0.258,0.321,0.409,0.731,85,134,0.985,28.8,4.86,4.53,162,5,10,39,1431,1411,787,721,185,526,1346,1.354,8.47,1.16,85,134,0.985,30.2,78
4,4.16,162,6049,5429,674,1281,275,25,171,639,95,31,476,1390,0.236,0.305,0.39,0.695,91,151,0.985,27,4.25,3.97,162,2,15,46,1433.1,1406,688,632,171,443,1214,1.29,7.62,1.07,91,151,0.985,27.7,83
3,4.11,162,6008,5412,666,1294,296,17,139,634,95,37,500,1395,0.239,0.309,0.377,0.686,84,110,0.985,27,3.79,3.41,162,0,10,44,1435.2,1260,614,544,172,384,1384,1.145,8.68,1.08,84,110,0.985,29.1,86
1,4.98,162,6172,5422,807,1308,225,8,254,764,102,33,620,1391,0.241,0.325,0.426,0.751,74,102,0.987,30.3,3.5,3.3,162,1,16,47,1451.2,1177,567,532,157,444,1459,1.117,9.05,0.97,74,102,0.987,29.2,99
2,4.78,162,6158,5555,775,1464,307,12,200,756,67,35,500,1242,0.264,0.329,0.431,0.76,82,120,0.986,27.1,4.19,3.87,162,0,10,46,1441.1,1356,679,620,180,424,1390,1.235,8.68,1.12,82,120,0.986,29.7,92
1,4.87,162,6082,5509,789,1394,298,11,243,753,87,31,470,1498,0.253,0.317,0.443,0.761,77,110,0.987,27.5,3.76,3.46,162,1,9,55,1448,1224,609,556,148,500,1554,1.191,9.66,0.92,77,110,0.987,30,101
2,4.77,162,6176,5489,772,1422,272,27,171,735,62,22,510,1217,0.259,0.332,0.412,0.744,67,128,0.988,29.7,3.74,3.57,162,0,19,41,1438.2,1274,606,570,169,428,1565,1.183,9.79,1.06,67,128,0.988,31.2,101
4,3.62,162,5949,5395,586,1241,248,20,144,554,122,29,436,1429,0.23,0.294,0.363,0.658,69,143,0.988,28.9,4.17,3.86,162,6,10,41,1437.1,1311,676,617,173,511,1437,1.268,9,1.08,69,143,0.988,27.6,69
5,3.72,162,5998,5434,603,1351,252,20,136,579,75,31,442,1221,0.249,0.31,0.377,0.688,104,126,0.982,28.7,5.28,5,162,2,4,28,1411.2,1469,855,785,244,558,1220,1.436,7.78,1.56,104,126,0.982,29.7,55
3,4.61,162,6077,5496,747,1392,255,29,205,719,105,28,478,1363,0.253,0.317,0.422,0.739,69,129,0.988,28.2,4.23,3.97,162,3,15,42,1428.1,1330,685,630,150,463,1423,1.255,8.97,0.95,69,129,0.988,29.2,87
3,4.06,162,6072,5425,657,1293,265,31,159,620,111,37,507,1448,0.238,0.311,0.387,0.698,96,139,0.984,27.9,4.51,4,162,0,11,44,1443.2,1342,731,642,207,540,1383,1.304,8.62,1.29,96,139,0.984,29.5,74
1,4.77,162,6165,5496,772,1386,290,21,197,739,95,25,537,1226,0.252,0.325,0.42,0.745,66,181,0.989,28.8,3.93,3.79,162,3,17,37,1435.2,1335,637,605,146,489,1177,1.27,7.38,0.92,66,181,0.989,29.4,93
4,4,162,5978,5380,648,1264,235,18,156,618,58,33,452,1430,0.235,0.304,0.372,0.676,81,115,0.986,29.4,5.03,4.86,162,1,6,31,1423.1,1366,815,768,213,612,1414,1.39,8.94,1.35,81,115,0.986,27.9,62
2,4.48,162,6122,5417,725,1271,251,17,219,703,96,30,577,1464,0.235,0.315,0.409,0.724,91,122,0.984,29.1,4.25,3.83,162,0,11,52,1446,1238,688,615,190,521,1530,1.216,9.52,1.18,91,122,0.984,28.6,86
4,3.65,162,5912,5331,591,1186,221,29,158,555,89,32,476,1497,0.222,0.291,0.364,0.655,121,152,0.979,26.3,5.04,4.66,162,0,6,33,1421,1432,817,735,164,586,1250,1.42,7.92,1.04,121,152,0.979,27.3,62
4,4.33,162,6027,5351,702,1232,262,24,173,658,104,29,531,1341,0.23,0.304,0.385,0.689,86,134,0.985,26.5,4.57,4.25,162,0,10,33,1430,1345,740,676,191,504,1216,1.293,7.65,1.2,86,134,0.985,30,74
3,4.42,162,6117,5392,716,1261,255,18,183,683,64,16,571,1462,0.234,0.315,0.39,0.705,100,130,0.983,30,4.3,3.85,162,1,8,39,1433,1397,697,613,132,441,1370,1.283,8.6,0.83,100,130,0.983,29.1,81
2,4.35,162,6175,5468,705,1317,275,18,153,682,49,22,574,1327,0.241,0.318,0.382,0.7,76,116,0.987,28.2,4.07,3.81,162,0,15,48,1443.1,1263,660,611,173,468,1451,1.199,9.05,1.08,76,116,0.987,30.3,89
5,4.31,162,6105,5540,698,1408,280,34,149,669,45,20,453,1330,0.254,0.315,0.398,0.713,100,154,0.983,29,5.39,5.06,162,1,6,43,1425.1,1516,873,802,184,539,1187,1.442,7.5,1.16,100,154,0.983,29.1,68
1,5.23,162,6247,5526,847,1418,325,31,212,812,98,18,607,1374,0.257,0.333,0.442,0.775,83,120,0.986,29.6,3.17,2.8,162,1,15,43,1451.1,1114,513,451,152,407,1465,1.048,9.08,0.94,83,120,0.986,28.8,111
